主播名称,直播类型,观众数量
毕竟我是弱智啊,其他手游,1.4万
御今缘紫砂茶礼飞机哥,正能量,1.4万
诸葛神侯关门弟子帝烨,热门网游,1.4万
活鲜哥,户外,1.4万
King我是YF宝宝呀,王者荣耀,1.4万
阿三锤石,英雄联盟,1.4万
通城小类爷,英雄联盟,1.4万
苍爹丶文浩,剑网3,1.4万
反叛的西西瓜,王者荣耀,1.4万
元气少女光,颜值,1.4万
我是你迷妹Amber,音乐,1.4万
芜湖灬王导,英雄联盟,1.4万
啊三三三三三三三,英雄联盟,1.4万
木宁是柠檬的柠,星娱,1.4万
丷玖兒,主机游戏,1.4万
铆钉鱼286156,狼人杀专区,1.4万
逆天丶小哥哥,传奇,1.4万
优皮剑魔,英雄联盟,1.3万
小狼狗胡大宝,DNF,1.3万
银酱是魔王,二次元,1.3万
莯宁,球球大作战,1.3万
小主播羽大炮,天涯明月刀,1.3万
呆宝丫丫丫,颜值,1.3万
Wait阿等等,颜值,1.3万
控几技几李青喵,英雄联盟,1.3万
大仙二手车讲堂,汽车,1.3万
是少女笑啦,怪物猎人 世界,1.3万
乔婉娩,二次元,1.3万
破阵统领K,绝地求生,1.3万
Hz丶盒子,绝地求生,1.3万
浅浅小言,二次元,1.3万
爱养狗的王大锤ii,绝地求生,1.3万
笑看王者路丶我邪恶,王者荣耀,1.3万
高大萌丶,楚留香,1.3万
发现精彩i,楚留香,1.3万
miwozhu,CS:GO,1.3万
goddess_tong,DNF,1.3万
DouyuTV小琛,绝地求生,1.3万
肖晨吖,穿越火线,1.3万
sao易水,天涯明月刀,1.3万
亮仔2tap,绝地求生,1.3万
雪莉CC的夜拿铁,颜值,1.3万
Abby林玲,颜值,1.3万
拉跨大队队长,梦幻西游手游,1.3万
小咣噹,美食,1.3万
我是第一浪,狼人杀专区,1.3万
方晨式Fc,绝地求生,1.3万
佳佳00布鲁根,颜值,1.3万
塔莎娜婉TH,户外,1.3万
张圆圆啊,颜值,1.3万
童童w宝宝,颜值,1.3万
九栀姑娘i,颜值,1.3万
新疆戈宝,DNF,1.3万
天融私募,财经,1.3万
mvpssssss,绝地求生,1.3万
张召忠,军事,1.3万
施嘉莉baby,颜值,1.3万
吹口琴的水,音乐,1.3万
牛丶吃草,绝地求生,1.3万
opopophuhu,魔兽争霸,1.3万
甜甜甜儿,户外,1.3万
彬哥哥丶丶,绝地求生,1.3万
撸了22年的左手,冒险岛2,1.3万
努力的Lorre,二次元,1.2万
最强王者璐,美食,1.2万
彦尔丶,QQ飞车,1.2万
King帅刚,DNF,1.2万
Melody丶xuanlv,穿越火线,1.2万
华士镇东包A车永久,QQ飞车,1.2万
红警之梦,怀旧游戏,1.2万
庆庆呀,星娱,1.2万
胖咪嘿咻嘿,绝地求生,1.2万
o叶秋o,军事游戏,1.2万
13c丶,绝地求生,1.2万
萌青小萝莉,绝地求生,1.2万
猫幼兮,绝地求生,1.2万
80後狗窝丶丹姐姐,美食,1.2万
小郭飞刀a,棋牌娱乐,1.2万
雨晨小仙女,颜值,1.2万
费小静,颜值,1.2万
253516丶小磊,逆战,1.2万
miwozhu,CS:GO,1.2万
天融私募,财经,1.2万
牛丶吃草,绝地求生,1.2万
宝宝isbaby,王者荣耀,1.2万
阿珠向上,音乐,1.2万
任意門一哥丶张越,DNF,1.2万
亮仔2tap,绝地求生,1.2万
红警之梦,怀旧游戏,1.2万
东门哥哥真帅,DNF,1.2万
姚大妮儿,王者荣耀,1.2万
市长豆豆,狼人杀专区,1.2万
主播幻弑,DNF,1.2万
小牛阿张Bulldog,户外,1.2万
Aries佳佳,颜值,1.2万
庆庆呀,星娱,1.2万
萌青小萝莉,绝地求生,1.2万
红云丶白银哥哥霹雳飞,荒岛特训,1.2万
张召忠,军事,1.2万
Dolores多洛莉絲,颜值,1.2万
天火喝茶,鱼教,1.2万
主播杰克曼,主机游戏,1.2万
小新的抹茶,颜值,1.2万
Sofronio,美食,1.2万
DouyuTV小琛,绝地求生,1.2万
这碗年糕甜的唷,主机游戏,1.2万
喵几是个大帅B,二次元,1.2万
你的笑容夏了夏天,颜值,1.2万
青蛙ob,英雄联盟,1.2万
三炮嘿咻嘿,王者荣耀,1.2万
虎头哥,炉石传说,1.2万
小阿軟,剑网3,1.2万
虾米是个小仙女,颜值,1.1万
安然Luck,颜值,1.1万
华士镇东包A车永久,QQ飞车,1.1万
米米夕采薇,魔兽世界,1.1万
o叶秋o,军事游戏,1.1万
软绵绵蛋蛋酱,颜值,1.1万
宁彩彩,颜值,1.1万
NFSOL丶夏末,竞速游戏,1.1万
uuuNIGU,颜值,1.1万
Nonoroa豆腐,主机游戏,1.1万
violet柚子,颜值,1.1万
杨怡是个小仙女,颜值,1.1万
黑冰_希,数码科技,1.1万
张陶子,颜值,1.1万
棒槌Ayer,绝地求生,1.1万
万年野封神小强,英雄联盟,1.1万
imqqqq,颜值,1.1万
南极猫的眼泪,怀旧游戏,1.1万
NaiDiiiiii,英雄联盟,1.1万
静静的娜茄子,主机游戏,1.1万
白豆腐EvEr,颜值,1.1万
冷冷的喵喵喵,颜值,1.1万
易中天,军事,1.1万
大仙二手车讲堂,汽车,1.1万
夏天呀summer,颜值,1.1万
W疯狂的菜鸟W,星际争霸,1.1万
老卢师,美食,1.1万
二胡洁宝儿,颜值,1.1万
权仔Plus,绝地求生,1.1万
坂田耀,二次元,1.1万
海鸥户外队长的,户外,1.1万
狂仔酷炫,视听点评,1.1万
童颜欧巴丶六神,最强NBA,1.1万
天天飘红学院,财经,1.1万
萌萌兔o,颜值,1.1万
威海蟹团子,美食,1.1万
天天卡牌,炉石传说,1.1万
纳尼亚王子英雄无敌,怀旧游戏,1.1万
叶青沉,天涯明月刀,1.1万
小猪的金坷垃,英雄联盟,1.1万
馒头超仙女哒,二次元,1.1万
Lucymm酱,颜值,1.1万
羽伞恐怖故事,鱼教,1.1万
雪mm的小儿子,户外,1.1万
Lonely丶灿,决斗之城,1.1万
北京金文,美食,1.1万
火焰艺阿,新游中心,1.1万
喵喵橙Miranda,颜值,1.1万
小千岁呀,颜值,1.1万
小乔不傻,颜值,1.1万
环华骑行蚁行思,正能量,1.1万
QGNIKO,绝地求生,1.1万
草莓不涨豆豆,综合手游,1.1万
喜欢吃肉的喵,颜值,1.1万
懋懋不是瓜皮,绝地求生,1.1万
陈同学啊Cc,颜值,1.1万
Eva小叽,颜值,1.1万
嘚瑟范er,怀旧游戏,1.1万
林糖果丶,二次元,1.1万
DY锁锁,颜值,1.1万
南派倒斗丶知识,王者荣耀,1.1万
鸣月NATUKI,绝地求生,1.1万
止战殇呀呀,青春篮球,1.1万
威海猎海小分队,户外,1.1万
深辰S,主机游戏,1.1万
毛茸茸的心,美食,1.1万
催眠1534079丶达闻西,二次元,1.1万
曾先生by,绝地求生,1.1万
河南四眼搞基,数码科技,1.1万
喝不完的可乐,主机游戏,1万
西域的柯基猫丶,王者荣耀,1万
Flyeyes,主机游戏,1万
地板君丶,二次元,1万
国服最强诸葛乐,王者荣耀,1万
四川康师傅,绝地求生,1万
海砂Sana,英雄联盟,1万
天津美食主播蛋蛋,美食,1万
梨花带雨QaQ,王者荣耀,1万
纽扣冰冰,炉石传说,1万
超能阿派,QQ飞车,1万
涛涛飞车信誉包中,QQ飞车,1万
Maco阿,王者荣耀,1万
特工小琪琪,英雄联盟,1万
抱南瓜的好狼丶,狼人杀专区,1万
坚强的怡声,二次元,1万
